typeName,slot
CONCORD XL Cruise Missile Launcher,H
Capital Anti-Kinetic Pump I,R
Corelum A-Type Medium Remote Armor Repairer,H
Legion Defensive - Covert Reconfiguration,S
Small Ancillary Shield Booster,M
Federation Navy 400mm Steel Plates,L
Capital Cap Battery II,M
50MN Y-T8 Compact Microwarpdrive,M
Medium Remote Capacitor Transmitter II,H
'Barrage' Torpedo Launcher,H
Capital Drone Scope Chip I,R
Large Hybrid Metastasis Adjuster II,R
Federation Navy Armor Explosive Hardener,L
True Sansha Energized Explosive Membrane,L
Medium Projectile Ambit Extension II,R
Afocal Precise Dual Giga Pulse Laser,H
Republic Fleet 500MN Microwarpdrive,M
True Sansha Heat Sink,L
Imperial Navy Drone Damage Amplifier,L
Micro Electrochemical Capacitor Booster I,M
Dark Blood Dual Giga Pulse Laser,H
Small Energy Discharge Elutriation I,R
Micro S95a Remote Shield Booster,H
Tuvan's Modified Neutron Blaster Cannon,H
Core C-Type 500MN Microwarpdrive,M
Large Salvage Tackle I,R
Dark Blood Medium EMP Smartbomb,H
Armored Warfare Link - Damage Control I,H
Capital Bay Loading Accelerator II,R
Unit W-634's Modified Burst Jammer,M
Dual 650mm Repeating Cannon I,H
200mm Reinforced Nanofiber Plates I,L
Large Anti-Explosive Pump I,R
Standup L-Set Missile Flight Processor II,R
150mm 'Scout' Accelerator Cannon,H
Medium Command Processor I,R
Federation Navy EM Plating,L
Small Signal Disruption Amplifier II,R
Estamel's Modified Cruise Missile Launcher,H
OLD Loki Electronics - Tactical Targeting Network,S
Local Power Plant Manager: Reaction Shield Power Relay I,L
Coreli C-Type Kinetic Plating,L
Secure Radar Backup Cluster I,L
Proteus Propulsion - Interdiction Nullifier,S
Large Core Defense Operational Solidifier I,R
'Slither' Heavy Electron Blaster I,H
Corpii C-Type Small Armor Repairer,L
Syndicate Reactor Control Unit,L
Large 'Notos' Explosive Charge I,H
200mm Prototype Gauss Gun,H
Large Ancillary Armor Repairer,L
Corpus X-Type Armor Kinetic Hardener,L
Capital Capacitor Booster II,M
Shadow Serpentis Dual 250mm Railgun,H
Omnidirectional Tracking Enhancer I,L
Medium Hull Repairer II,M
Domination Gyrostabilizer,L
Chelm's Modified Energized EM Membrane,L
Type-E Power Core Modification: Shield Power Relay,L
Small EMP Smartbomb II,H
Heavy Initiated Compact Warp Scrambler,M
Legion Propulsion - Intercalated Nanofibers,S
Pith B-Type X-Large Shield Booster,M
220mm Vulcan AutoCannon II,H
Large Projectile Metastasis Adjuster II,R
Civilian Kinetic Deflection Field,M
Capital Remote Repair Augmentor I,R
Emergency Magnetometric Scanners,L
Medium Tracking Diagnostic Subroutines I,R
Anode Scoped Dual Giga Beam Laser,H
Capital Warhead Rigor Catalyst II,R
Republic Fleet X-Large Shield Booster,M
Marked Modified SS Nanofiber Structure,L
Ammatar Navy Dual Heavy Pulse Laser,H
Marked Modified SS Inertial Stabilizers,L
Capital Infectious Scoped Energy Neutralizer,H
X-Large All Components Research I,R
Modulated Strip Miner II,H
Drone Link Augmentor II,H
Small Core Defense Charge Economizer II,R
Capital Warp Core Optimizer II,R
Standup M-Set Structure Target Multiplexing I,R
Experimental Armor Kinetic Hardener I,L
Triage Module II,H
Small Proton Smartbomb II,H
Signal Amplifier II,L
Tairei's Modified Heavy Energy Neutralizer,H
Brynn's Modified Energized Kinetic Membrane,L
50mm Reinforced Crystalline Carbonide Plates I,L
Omnidirectional Tracking Link I,M
Corpum A-Type Medium Armor Repairer,L
Coreli A-Type 1MN Afterburner,M
Small Drone Mining Augmentor I,R
Shadow Serpentis Remote Tracking Computer,M
Medium Stasis Drone Augmentor I,R
ECCM - Ladar II,M
Small Projectile Burst Aerator II,R
Small Hybrid Ambit Extension I,R
1400mm Howitzer Artillery II,H
Shaqil's Modified Energized Thermal Membrane,L
Gist C-Type Kinetic Deflection Field,M
Domination Cruise Missile Launcher,H
Selynne's Modified Heavy Energy Neutralizer,H
Small Focused Modal Laser I,H
Brokara's Modified Explosive Plating,L
Medium Memetic Algorithm Bank I,R
Thon's Modified Co-Processor,L
'Thurifer' Large Cap Battery,M
Selynne's Modified Armor EM Hardener,L
Capital Flex Shield Hardener I,M
Dread Guristas Co-Processor,L
Focused Medium Pulse Laser II,H
Anode Mega Ion Particle Cannon I,H
OLD Loki Electronics - Dissolution Sequencer,S
Imperial Navy Mega Beam Laser,H
Domination EM Plating,L
Small Signal Focusing Kit I,R
Limited Armor Thermal Hardener I,L
Capital Salvage Tackle I,R
Shadow Serpentis Heavy Electron Blaster,H
Unit P-343554's Modified Sensor Booster,M
Medium 'Notos' Explosive Charge I,H
Information Warfare Link - Recon Operation II,H
Gistii B-Type Small Remote Shield Booster,H
Standup M-Set HS Materials Reclamation II,R
Khanid Navy Rocket Launcher,H
Heavy F-RX Prototype Capacitor Boost,M
Small Anti-Explosive Screen Reinforcer I,R
Gistum A-Type Explosive Deflection Amplifier,M
Partial Hull Conversion Expanded Cargo,L
Gloom Enduring Radar ECM,M
Medium Graviton Smartbomb II,H
Medium Salvage Tackle II,R
Large Clarity Ward Booster I,M
Small S95a Scoped Remote Shield Booster,H
Zeugma Integrated Analyzer,M
Cormack's Modified Power Diagnostic System,L
'Broker' Remote Sensor Dampener I,M
Ahremen's Modified Heavy Energy Neutralizer,H
Dual Heavy Pulse Laser II,H
Dark Blood Energized Thermal Membrane,L
Standup M-Set Basic Small Ship Manufacturing Time Efficiency II,R
Gatling Modulated Energy Beam I,H
Capital Inductive Compact Remote Capacitor Transmitter,H
Shadow Serpentis Warp Disruptor,M
Emergency Gravimetric Scanners,L
Heavy Karelin Scoped Stasis Grappler,M
Medium Core Defense Operational Solidifier I,R
Medium Projectile Locus Coordinator I,R
True Sansha Rapid Light Missile Launcher,H
Domination Overdrive Injector,L
100MN Monopropellant Enduring Afterburner,M
Brynn's Modified Armor Explosive Hardener,L
Limited Energized Armor Layering Membrane I,L
25000mm Rolled Tungsten Compact Plates,L
Setele's Modified Adaptive Nano Plating,L
F-42 Reiterative Gravimetric Backup Sensors,L
Large I-b Polarized Structural Regenerator,M
Vepas' Modified Cruise Missile Launcher,H
Armor EM Hardener I,L
Limited Adaptive Nano Plating I,L
P-S Compact Remote Tracking Computer,M
720mm Cordite Howitzer I,H
'Malkuth' Rapid Heavy Missile Launcher I,H
Imperial Navy Energized Adaptive Nano Membrane,L
Rubin Basic Particle Bore Stream,H
Dread Guristas Thermal Dissipation Amplifier,M
Standup XL-Set Ship Manufacturing Efficiency I,R
Incremental Magnetometric ECCM Scanning Array I,M
Mark I Generator Refitting: Reaction Control,L
Gistum C-Type EM Ward Amplifier,M
'Mafia' Energized Kinetic Membrane I,L
Corelum B-Type Medium Remote Armor Repairer,H
Large Memetic Algorithm Bank I,R
Limited Explosive Plating I,L
'Orion' Tracking CPU I,M
True Sansha Heavy Energy Neutralizer,H
Caldari Navy Large Shield Booster,M
Capital Remote Armor Repairer I,H
Large Inverted Signal Field Projector I,R
'Dyad' Co-Processor I,L
Small Warhead Flare Catalyst I,R
Interior Type-E Cargo Identifier,M
Republic Fleet Stasis Webifier,M
Upgraded Kinetic Deflection Amplifier I,M
Medium Anti-Explosive Screen Reinforcer II,R
Unit P-343554's Modified Damage Control,L
Capital Inverted Signal Field Projector II,R
Standup XL-Set Missile Fire Control Computer I,R
Capital Hybrid Ambit Extension II,R
'Dealer' Light Ion Blaster I,H
Vizan's Modified Energized Adaptive Nano Membrane,L
Cormack's Modified Energized Kinetic Membrane,L
Setele's Modified Energized Kinetic Membrane,L
Remote Tracking Computer I,M
Thon's Modified Thermal Dissipation Amplifier,M
Corelum C-Type 50MN Microwarpdrive,M
Standup M-Set Advanced Large Ship Manufacturing Time Efficiency II,R
Gist B-Type Thermal Dissipation Field,M
Capital Transverse Bulkhead I,R
Domination Hexa 2500mm Repeating Cannon,H
OLD Legion Engineering - Augmented Capacitor Reservoir,S
Imperial Navy Focused Medium Pulse Laser,H
Dread Guristas 200mm Railgun,H
Republic Fleet 1MN Afterburner,M
Standup Fighter Tracking Enhancer I,L
Caldari Navy Dual 150mm Railgun,H
Civilian Light Electron Blaster,H
Capital Anti-EM Pump II,R
Khanid Navy Energized Explosive Membrane,L
Large Plasma Smartbomb I,H
Mining Laser Optimization I,R
Estamel's Modified Kinetic Deflection Field,M
Caldari Navy Dual 250mm Railgun,H
Large Anti-Thermal Screen Reinforcer I,R
Medium Converse Deflection Catalyzer,M
Medium Tech I Medium Ship Research I,R
Capital Inverted Signal Field Projector I,R
Information Command Burst I,H
Baker Nunn Enduring Tracking Disruptor I,M
Medium Warhead Calefaction Catalyst II,R
Reserve Multi-Frequency Scanners,L
Small Polycarbon Engine Housing I,R
M-36 Enduring Warp Disruption Field Generator,H
'Poacher' EM Ward Field,M
Heavy Ghoul Compact Energy Nosferatu,H
Gist X-Type X-Large Shield Booster,M
Inertial Stabilizers II,L
Medium Algid Energy Administrations Unit II,R
OLD Proteus Defensive - Warfare Processor,S
Setele's Modified Large Armor Repairer,L
500MN Y-T8 Compact Microwarpdrive,M
10MN Afterburner I,M
Medium Ancillary Remote Shield Booster,H
Gist B-Type Kinetic Deflection Field,M
Republic Fleet Small Shield Booster,M
Pithum C-Type Medium Shield Booster,M
Chelm's Modified Energized Explosive Membrane,L
Unit F-435454's Modified Drone Damage Amplifier,L
F84 Local Damage System,L
CONCORD Capital Remote Capacitor Transmitter,H
Small Egress Port Maximizer II,R
Micro Peroxide Capacitor Power Cell,M
Basic Energized Thermal Membrane,L
Medium Core Defense Capacitor Safeguard II,R
Medium Asymmetric Remote Capacitor Transmitter,H
'Corporate' Light Electron Blaster I,H
Small Murky Remote Capacitor Transmitter,H
650mm Artillery Cannon I,H
Structure Armored Targeted Link,H
Small Drone Scope Chip I,R
Heavy Anode Pulse Particle Stream I,H
'Plow' Gas Cloud Harvester,H
Medium Anti-EM Pump I,R
Vizan's Modified Armor Thermal Hardener,L
Supplemental Thermal Dissipation Amplifier,M
Covert Cynosural Field Generator I,H
Selynne's Modified Heat Sink,L
Protected Magnetometric Backup Cluster I,L
Dual Afocal Pulse Maser I,H
Capital Command Processor I,R
Small Compact Pb-Acid Cap Battery,M
OE-5200 Rocket Launcher,H
Pith B-Type Shield Boost Amplifier,M
Surrogate RADAR Reserve Array I,L
Scan Acquisition Array I,M
Medium Semiconductor Memory Cell II,R
Small Dynamic Fuel Valve I,R
Sensor Strength Rig II,R
Heavy Tapered Capacitor Infusion I,M
720mm 'Probe' Artillery I,H
Naiyon's Modified Co-Processor,L
Civilian Light Missile Launcher,H
Ahremen's Modified Energized Thermal Membrane,L
Modulated Compact Quad Mega Pulse Laser,H
'Refuge' Adaptive Nano Plating I,L
Bastion Module I,H
Ballistic Control System I,L
Large Ancillary Current Router I,R
Medium Peroxide Capacitor Power Cell,M
Draclira's Modified Mega Beam Laser,H
'Habitat' Miner I,H
Large Asymmetric Enduring Remote Shield Booster,H
Large Armor Repairer I,L
Minmatar Phenomena Generator,H
OLD Legion Offensive - Assault Optimization,S
Federation Navy Small Plasma Smartbomb,H
Coreli B-Type Explosive Plating,L
Setele's Modified Magnetic Field Stabilizer,L
Capital Auxiliary Nano Pump I,R
Federation Navy Heavy Ion Blaster,H
Strip Miner I,H
Type-D Restrained Reinforced Bulkheads,L
Heavy Capacitor Booster I,M
Capital Hyperspatial Velocity Optimizer II,R
Tobias' Modified Large Proton Smartbomb,H
Capital Warhead Flare Catalyst I,R
Capital Warp Core Optimizer I,R
Standup L-Set Basic Large Ship Manufacturing Efficiency II,R
Thon's Modified X-Large Shield Booster,M
Federation Navy 125mm Railgun,H
Standup M-Set Basic Capital Component Manufacturing Time Efficiency II,R
Large Energy Collision Accelerator II,R
Pithi C-Type Small Remote Shield Booster,H
Small Inverted Signal Field Projector I,R
'Basic' Capacitor Recharger,M
Large Anti-EM Pump II,R
Large Drone Durability Enhancer II,R
Prototype Precise Quad 3500mm Siege Artillery,H
Medium Ancillary Armor Repairer,L
True Sansha Torpedo Launcher,H
Large Remote Shield Booster I,H
Corpus X-Type Heavy Energy Neutralizer,H
Cormack's Modified Electron Blaster Cannon,H
Regulated Mega Neutron Phase Cannon I,H
Medium Signal Disruption Amplifier II,R
Raysere's Modified Heavy Energy Nosferatu,H
Dread Guristas Multispectral ECM,M
OLD Loki Defensive - Warfare Processor,S
Medium Cargohold Optimization I,R
Medium S95a Scoped Remote Shield Booster,H
Thon's Modified Large Shield Booster,M
Corpus B-Type Heavy Energy Neutralizer,H
Local Power Plant Manager: Reaction Control I,L
Capital Liquid Cooled Electronics I,R
Luther Veron's Modified Large EMP Smartbomb,H
Coreli B-Type Adaptive Nano Plating,L
Core C-Type Armor Explosive Hardener,L
Tairei's Modified Thermal Plating,L
Capital Energy Neutralizer I,H
Medium Energy Burst Aerator II,R
Experimental ZW-4100 Torpedo Launcher,H
Medium Azeotropic Restrained Shield Extender,M
Quad Light Beam Laser I,H
'Limos' Cruise Launcher I,H
Ahremen's Modified Thermal Plating,L
Ammatar Navy Armor Explosive Hardener,L
Capital Shield Extender I,M
Large Hybrid Locus Coordinator I,R
Experimental Energized Adaptive Nano Membrane I,L
Quad Anode Light Particle Stream I,H
Corpii A-Type Thermal Plating,L
Multispectral ECM I,M
Imperial Navy 1600mm Steel Plates,L
'Malkuth' Heavy Missile Launcher I,H
Dark Blood Armor EM Hardener,L
Small Anti-Explosive Pump II,R
Civilian Small Remote Armor Repairer,H
Small Capacitor Booster I,M
Mizuro's Modified Dual 425mm AutoCannon,H
Alpha Hull Mod Expanded Cargo,L
CONCORD Armor Explosive Hardener,L
Draclira's Modified Dual Heavy Beam Laser,H
Modal Light Electron Particle Accelerator I,H
Small Rudimentary Energy Destabilizer I,H
Micro Ohm Capacitor Reserve I,M
Light Missile Launcher II,H
'Dactyl' Type-E Asteroid Analyzer,M
OLD Tengu Defensive - Warfare Processor,S
Capital Warhead Calefaction Catalyst I,R
Gistum A-Type EM Ward Amplifier,M
Shadow Serpentis Capital Armor Repairer,L
Loki Defensive - Adaptive Defense Node,S
Gist X-Type 500MN Microwarpdrive,M
Large Warp Core Optimizer II,R
Standup M-Set Basic Small Ship Manufacturing Material Efficiency II,R
Capital Sentry Damage Augmentor I,R
Small Core Defense Operational Solidifier II,R
Ahremen's Modified Large EMP Smartbomb,H
Dark Blood Kinetic Plating,L
Gyrostabilizer I,L
Upgraded EM Ward Amplifier I,M
Standup M-Set Fighter Survival II,R
Syndicate Cloaking Device,H
Pithum C-Type Adaptive Invulnerability Field,M
Large I-a Polarized Armor Regenerator,L
Republic Fleet Explosive Plating,L
Gistii A-Type 1MN Afterburner,M
True Sansha Small Armor Repairer,L
RADAR Backup Array II,L
Imperial Navy Heavy Energy Neutralizer,H
Republic Fleet Adaptive Nano Plating,L
Shadow Serpentis 250mm Railgun,H
Medium Warhead Rigor Catalyst I,R
Small Drone Durability Enhancer I,R
Siege Warfare Link - Shield Harmonizing II,H
Vizan's Modified Armor Kinetic Hardener,L
Kaikka's Modified Kinetic Deflection Field,M
Medium Emission Scope Sharpener I,R
Gistii B-Type 5MN Microwarpdrive,M
Small Ionic Field Projector I,R
Survey Probe Launcher I,H
Corpus X-Type Armor EM Hardener,L
Heavy Stasis Grappler II,M
Medium Semiconductor Memory Cell I,R
QA Cross Protocol Analyzer,M
X-Large Clarity Ward Booster I,M
Kapteyn Compact Sensor Dampener,M
Tuvan's Modified Energized Kinetic Membrane,L
Medium Supplemental Barrier Emitter I,M
350mm Prototype Gauss Gun,H
Sisters Core Probe Launcher,H
Tobias' Modified Stasis Webifier,M
Vizan's Modified Armor EM Hardener,L
Mark I Compact Capacitor Power Relay,L
Raysere's Modified Heavy Energy Neutralizer,H
Gist B-Type Large Shield Booster,M
Surrogate Gravimetric Reserve Array I,L
F-b10 Nominal Capacitor Regenerator,M
Ammatar Navy Energized Kinetic Membrane,L
Domination EM Ward Field,M
Khanid Navy Heavy Assault Missile Launcher,H
Corpum C-Type Energized Adaptive Nano Membrane,L
Gauss Field Balancer,L
Shadow Serpentis Armor Thermal Hardener,L
True Sansha Dual Heavy Beam Laser,H
True Sansha Reactor Control Unit,L
Polarized 425mm AutoCannon,H
Caldari Navy Micro Graviton Smartbomb,H
‘Phalarica’ Thermal Lance,H
Brynn's Modified Energized Explosive Membrane,L
Hakim's Modified Explosive Deflection Amplifier,M
Large 'Arup' Remote Armor Repairer,H
200mm Light 'Jolt' Autocannon I,H
Capital Core Defense Charge Economizer II,R
Armor Thermal Hardener II,L
Experimental Jump Drive Economizer,L
Dread Guristas Dual 250mm Railgun,H
'Catapult' Mega Beam Laser I,H
Small Murky Compact Remote Shield Booster,H
Dark Blood Micro EMP Smartbomb,H
Imperial Navy Armor EM Hardener,L
F-23 Compact Remote Sensor Booster,M
Scout Scoped Quad 3500mm Siege Artillery,H
Large Polycarbon Engine Housing I,R
Capital Core Defense Operational Solidifier I,R
Dread Guristas Explosive Deflection Field,M
Unit W-634's Modified Drone Link Augmentor,H
Coreli C-Type Thermal Plating,L
Brynn's Modified 350mm Railgun,H
Medium Core Defense Charge Economizer II,R
Sentient Omnidirectional Tracking Enhancer,L
200mm AutoCannon II,H
Partial Hull Conversion Overdrive Injector,L
Chelm's Modified Large Armor Repairer,L
Ammatar Navy Explosive Plating,L
Corpii B-Type Small Armor Repairer,L
200mm Compressed Coil Gun I,H
Launcher Processor Rig II,R
Corelum C-Type Energized Kinetic Membrane,L
Imperial Navy Dual Light Beam Laser,H
Medium Partial E95b Remote Capacitor Transmitter,H
Test Resistance Small Laser 2,H
Corpii B-Type EM Plating,L
Standup Co-Processor Array I,L
Missile Guidance Computer I,M
Standup M-Set Fighter Survival I,R
Large Azeotropic Restrained Shield Extender,M
Ammatar Navy Mega Pulse Laser,H
Domination Explosive Plating,L
Medium 'Ditch' Energy Neutralizer,H
Dual 150mm Compressed Coil Gun I,H
Setele's Modified Thermal Plating,L
Large Projectile Collision Accelerator I,R
150mm 'Musket' Railgun,H
Skirmish Warfare Link - Evasive Maneuvers I,H
Armored Warfare Link - Rapid Repair I,H
Federation Navy Heavy Electron Blaster,H
Small Hybrid Metastasis Adjuster II,R
Ammatar Navy Power Diagnostic System,L
Small Bay Loading Accelerator I,R
Small Drone Repair Augmentor I,R
Mizuro's Modified 100MN Afterburner,M
Shield Transporter Rig II,R
Adaptive Invulnerability Field I,M
Dual 650mm Carbine Repeating Cannon I,H
25000mm Crystalline Carbonide Restrained Plates,L
Type-D Attenuation Signal Augmentation,L
Micro Jump Field Generator,M
Peripheral Compact Target Painter,M
Draclira's Modified Large EMP Smartbomb,H
Thon's Modified Thermal Dissipation Field,M
Medium Rudimentary Energy Destabilizer I,H
200mm Light Carbine Repeating Cannon I,H
Ammatar Navy Heavy Capacitor Booster,M
Medium Warp Core Optimizer II,R
Anode Neutron Particle Cannon I,H
Centii B-Type Small Remote Armor Repairer,H
OLD Legion Offensive - Drone Synthesis Projector,S
Ladar Backup Array II,L
Corpii C-Type Thermal Plating,L
Torpedo Launcher II,H
Civilian Armor Repairer,L
Caldari Navy 250mm Railgun,H
Mega Modal Laser I,H
Loki Defensive - Covert Reconfiguration,S
EM Ward Amplifier II,M
Gist B-Type 100MN Afterburner,M
Corpii A-Type Small Energy Neutralizer,H
Sentient Damage Control,L
280mm Prototype Siege Cannon,H
5MN Microwarpdrive I,M
Draclira's Modified Heat Sink,L
Initiated Compact Warp Disruptor,M
Large Anti-Thermal Screen Reinforcer II,R
Scout Scoped Hexa 2500mm Repeating Cannon,H
Ammatar Navy Heavy Energy Neutralizer,H
Large Remote Hull Repairer I,H
True Sansha Thermal Plating,L
Small 'Wolf' Shield Extender,M
Republic Fleet Cruise Missile Launcher,H
Coreli C-Type 5MN Microwarpdrive,M
Heavy Afocal Maser I,H
Brynn's Modified Power Diagnostic System,L
50000MN Quad LiF Restrained Microwarpdrive,M
Tuvan's Modified Armor Thermal Hardener,L
200mm Crystalline Carbonide Restrained Plates,L
Dual 180mm AutoCannon I,H
QA Remote Armor Repair System - 5 Players,H
Experimental Armor Thermal Hardener I,L
Standup XL-Set Structure and Component Manufacturing Efficiency II,R
Thukker Modified Medium Shield Extender,M
Limited Armor EM Hardener I,L
Raysere's Modified Energized Adaptive Nano Membrane,L
True Sansha Rocket Launcher,H
Domination Dual 650mm Repeating Cannon,H
Prototype ECCM Magnetometric Sensor Cluster,M
Tobias' Modified Tracking Enhancer,L
1600mm Rolled Tungsten Compact Plates,L
Small Inefficient Hull Repair Unit,M
Domination Medium Armor Repairer,L
Siege Warfare Link - Shield Efficiency I,H
Micro EMP Smartbomb II,H
Centii C-Type Small Armor Repairer,L
Brokara's Modified Armor Thermal Hardener,L
125mm Compressed Coil Gun I,H
Small Focused Afocal Pulse Maser I,H
Local Hull Conversion Inertial Stabilizers I,L
OLD Tengu Engineering - Augmented Capacitor Reservoir,S
Armored Warfare Link - Passive Defense I,H
Domination Large Armor Repairer,L
Structure Resistance Switcher,L
Small Algid Energy Administrations Unit II,R
Large Rudimentary Concussion Bomb I,H
Selynne's Modified Energized EM Membrane,L
Particle Bore Compact Mining Laser,H
Thon's Modified Explosive Deflection Amplifier,M
Standup M-Set I1 Materials Reclamation II,R
Medium Hybrid Collision Accelerator I,R
Shielded Gravimetric Backup Cluster I,L
Hydraulic Stabilization Actuator,L
Cap Recharger I,M
Shadow Serpentis Light Ion Blaster,H
Brokara's Modified Energized Kinetic Membrane,L
'Joust' Heavy Pulse Laser I,H
Basic Explosive Plating,L
Medium Auxiliary Thrusters II,R
Setele's Modified Damage Control,L
Capital Hydraulic Bay Thrusters II,R
Capital Asymmetric Enduring Remote Shield Booster,H
Small Ancillary Current Router II,R
Ahremen's Modified Energized Adaptive Nano Membrane,L
Medium Energy Metastasis Adjuster I,R
Large F-S9 Regolith Compact Shield Extender,M
OLD Loki Engineering - Augmented Capacitor Reservoir,S
Imperial Navy Heavy Capacitor Booster,M
‘Geiravor’ Explosive Lance,H
Pithum B-Type Kinetic Deflection Amplifier,M
Corelum C-Type 10MN Afterburner,M
Standup M-Set Energy Neutralizer Economy II,R
Medium Emission Scope Sharpener II,R
Imperial Navy 400mm Steel Plates,L
Micro Capacitor Booster II,M
Core C-Type 100MN Afterburner,M
Shadow Serpentis 1MN Afterburner,M
Type-E Enduring Cargo Scanner,M
'Deuce' Co-Processor I,L
125mm Light 'Scout' Autocannon I,H
Selynne's Modified Thermal Plating,L
Small 'Accommodation' Vestment Reconstructer I,L
Thermal Dissipation Amplifier I,M
Shadow Serpentis Capital Flex Armor Hardener,L
Capital Gremlin Compact Energy Neutralizer,H
'Contour' EM Plating I,L
Recon Probe Launcher II,H
True Sansha Small EMP Smartbomb,H
Shadow Serpentis Dual 150mm Railgun,H
Micro EMP Smartbomb I,H
Imperial Navy Focused Medium Beam Laser,H
Small Focused Beam Laser II,H
Small Supplemental Barrier Emitter I,M
Core Probe Launcher I,H
Domination Large Shield Booster,M
Ammatar Navy Medium Capacitor Booster,M
Raysere's Modified Large Armor Repairer,L
Auto Targeting System I,H
Compulsive Scoped Multispectral ECM,M
Muon Coil Bolt Array I,L
Cormack's Modified 500MN Microwarpdrive,M
Raysere's Modified Heat Sink,L
'Skadi' Coolant System I,L
Dual 150mm 'Scout' Accelerator Cannon,H
Raysere's Modified Capacitor Power Relay,L
Small Liquid Cooled Electronics I,R
Small Projectile Locus Coordinator II,R
Tachyon Beam Laser I,H
Siege Module II,H
Capital Auxiliary Thrusters I,R
Standup L-Set Equipment Manufacturing Efficiency I,R
Large Egress Port Maximizer II,R
Large Core Defense Charge Economizer I,R
Pith C-Type EM Ward Field,M
Large Drone Speed Augmentor I,R
Dark Blood Dual Light Beam Laser,H
Dark Blood Armor Kinetic Hardener,L
FZ-3a Enduring Gravimetric ECM,M
'Ghost' Burst Jammer,M
Micro Proton Smartbomb II,H
Dual Afocal Heavy Maser I,H
Domination Medium Shield Booster,M
Heavy Energy Nosferatu II,H
Large Hybrid Ambit Extension I,R
Medium Salvage Tackle I,R
OLD Proteus Engineering - Augmented Capacitor Reservoir,S
Dual 250mm Carbide Railgun I,H
'Boss' Remote Sensor Booster,M
Micro 'Atonement' Remote Shield Booster,H
Khanid Navy Kinetic Plating,L
Medium Hybrid Metastasis Adjuster II,R
Standup Target Painter I,M
Proteus Offensive - Hybrid Encoding Platform,S
Gravimetric Backup Array II,L
Republic Fleet Armor Thermal Hardener,L
Heavy Faint Epsilon Scoped Warp Scrambler,M
Federation Navy Small Armor Repairer,L
Launcher Processor Rig I,R
800mm Reinforced Nanofiber Plates I,L
Structure Remote Hull Repairer,H
Barton Reactor Capacitor Recharger I,M
Domination Inertial Stabilizers,L
Experimental Energized Explosive Membrane I,L
Large Structure Component Research I,R
Small Processor Overclocking Unit I,R
Small Warhead Rigor Catalyst II,R
800mm Steel Plates I,L
Anode Mega Electron Particle Cannon I,H
Shadow Serpentis Power Diagnostic System,L
Dual Giga Beam Laser I,H
Heavy Warp Scrambler II,M
Capital Cap Battery I,M
Vepas' Modified 350mm Railgun,H
Tairei's Modified Energized Explosive Membrane,L
Rapid Heavy Missile Launcher II,H
Naiyon's Modified Stasis Webifier,M
Upgraded 'Malkuth' Rapid Light Missile Launcher,H
Small Signal Focusing Kit II,R
Standup L-Set Point Defense Battery Control II,R
Small Targeting Amplifier I,R
Draclira's Modified Reactor Control Unit,L
QA Mega Module,L
Hakim's Modified Shield Boost Amplifier,M
Medium Hybrid Discharge Elutriation I,R
True Sansha Capital Shield Extender,M
Vizan's Modified EM Plating,L
Large Particle Dispersion Augmentor I,R
Alpha Reactor Shield Power Relay,L
Unit F-435454's Modified Omnidirectional Tracking Link,M
Capital Trimark Armor Pump I,R
Pithi B-Type Small Shield Booster,M
Standup M-Set Advanced Component Manufacturing Time Efficiency II,R
Propellant Injection Vent II,R
Small Focused Afocal Maser I,H
Core A-Type 100MN Afterburner,M
Cormack's Modified Armor Kinetic Hardener,L
'Delineative' Warp Scrambler,M
Large Egress Port Maximizer I,R
Networked Sensor Array,H
True Sansha Gatling Pulse Laser,H
800mm Rolled Tungsten Compact Plates,L
Experimental Explosive Plating I,L
Medium Subordinate Screen Stabilizer I,M
Federation Navy Dual 150mm Railgun,H
Thon's Modified Shield Boost Amplifier,M
Tairei's Modified Energized Thermal Membrane,L
E50 Prototype Energy Vampire,H
Brokara's Modified Adaptive Nano Plating,L
OLD Proteus Propulsion - Gravitational Capacitor,S
425mm Compressed Coil Gun I,H
Wavelength Signal Enhancer I,L
Electron Blaster Cannon II,H
Vizan's Modified Kinetic Plating,L
50000MN Y-T8 Compact Microwarpdrive,M
Supplemental Kinetic Deflection Amplifier,M
QA Multiship Module - 10 Players,L
Khanid Navy Thermal Plating,L
'Micro' Cap Battery,M
Warp Disruption Burst Projector,H
Coreli C-Type 1MN Afterburner,M
Drone Navigation Computer II,M
Capital Core Defense Field Extender I,R
800mm Steel Plates II,L
Capital Targeting System Subcontroller I,R
5MN Microwarpdrive II,M
Centii A-Type Thermal Plating,L
Ammatar Navy Energized EM Membrane,L
720mm 'Jolt' Artillery I,H
Rocket Launcher II,H
Large Capacitor Control Circuit II,R
Standup L-Set Capital Ship Manufacturing Efficiency II,R
Medium Neutron Saturation Injector I,M
Large Warhead Rigor Catalyst I,R
Large Remote Capacitor Transmitter II,H
Hakim's Modified Tracking Enhancer,L
Medium Stasis Drone Augmentor II,R
Shadow Serpentis Energized Kinetic Membrane,L
Shade Compact Radar ECM,M
Capital Algid Energy Administrations Unit II,R
100mm Reinforced Titanium Plates I,L
Medium Ice Harvester Accelerator I,R
Caldari Navy Ballistic Control System,L
Heavy Ion Blaster I,H
Civilian Data Analyzer,M
OLD Loki Defensive - Adaptive Shielding,S
'Felon' Ion Blaster Cannon I,H
RADAR Backup Array I,L
